index original filtered
584 0 -0.0764517
585 0 -0.083853
586 0 -0.0898415
587 0 -0.0943566
588 0 -0.0973599
589 0 -0.0988352
590 0 -0.0987881
591 0 -0.0972462
592 0 -0.0942577
593 0 -0.0898907
594 0 -0.0842319
595 0 -0.077385
596 0 -0.0694692
597 0 -0.0606171
598 0 -0.0509728
599 0 -0.0406897
600 0 -0.0299283
601 0 -0.0188537
602 0 -0.00763331
603 0 0.00356543
604 0 0.0145775
605 0 0.0252425
606 0 0.035407
607 0 0.0449265
608 0 0.0536671
609 0 0.061508
610 0 0.0683423
611 0 0.0740787
612 0 0.0786428
613 0 0.0819777
614 0 0.0840447
615 0 0.0848239
616 0 0.0843141
617 0 0.0825328
618 0 0.0795158
619 0 0.0753166
620 0 0.0700052
621 0 0.0636676
622 0 0.0564038
623 0 0.0483271
624 0 0.0395615
625 0 0.0302405
626 0 0.0205053
627 0 0.0105019
628 0 0.000380073
629 0 -0.00970956
630 0 -0.0196173
631 0 -0.0291967
632 0 -0.0383065
633 0 -0.0468125
634 0 -0.0545899
635 0 -0.0615246
636 0 -0.0675151
637 0 -0.0724737
638 0 -0.0763279
639 0 -0.0790213
640 0 -0.0805146
641 0 -0.0807858
642 0 -0.079831
643 0 -0.077664
644 0 -0.0743161
645 0 -0.0698363
646 0 -0.0642899
647 0 -0.0577578
648 0 -0.0503356
649 0 -0.042132
650 0 -0.0332674
651 0 -0.0238721
652 0 -0.0140847
653 0 -0.00404971
654 0 0.00608394
655 0 0.0161655
656 0 0.0260442
657 0 0.0355716
658 0 0.0446039
659 0 0.0530035
660 0 0.0606414
661 0 0.067399
662 0 0.07317
663 0 0.0778616
664 0 0.0813964
665 0 0.0837131
666 0 0.0847681
667 0 0.0845356
668 0 0.0830087
669 0 0.0801992
670 0 0.0761379
671 0 0.070874
672 0 0.064475
673 0 0.0570256
674 0 0.0486266
675 0 0.0393938
676 0 0.0294565
677 0 0.0189559
678 0 0.00804269
679 0 -0.00312422
680 0 -0.0143805
681 0 -0.0255583
682 0 -0.0364887
683 0 -0.0470043
684 0 -0.0569412
685 0 -0.0661419
686 0 -0.0744572
687 0 -0.0817484
688 0 -0.0878901
689 0 -0.0927712
690 0 -0.0962974
691 0 -0.0983928
692 0 -0.0990007
693 0 -0.0980855
694 0 -0.0956328
695 0 -0.0916508
696 0 -0.0861698
697 0 -0.0792427
698 0 -0.0709445
699 0 -0.0613718
700 0 -0.0506419
701 0 -0.0388912
702 0 -0.0262743
703 0 -0.0129617
704 0 0.000861865
705 0 0.0149998
706 0 0.0292461
707 0 0.0433881
708 0 0.057209
709 0 0.0704911
710 0 0.0830185
711 0 0.09458
712 0 0.104973
713 0 0.114004
714 0 0.121496
715 0 0.127288
716 0 0.131236
717 0 0.13322
718 0 0.133145
719 0 0.130939
720 0 0.126562
721 0 0.120001
722 0 0.111274
723 0 0.100431
724 0 0.0875525
725 0 0.0727538
726 0 0.05618
727 0 0.0380079
728 0 0.0184445
729 0 -0.00227434
730 0 -0.0238858
731 0 -0.0461021
732 0 -0.0686128
733 0 -0.0910878
734 0 -0.11318
735 0 -0.134529
736 0 -0.154764
737 0 -0.173507
738 0 -0.190379
739 0 -0.205002
740 0 -0.217
741 0 -0.22601
742 0 -0.231681
743 0 -0.233677
744 0 -0.231684
745 0 -0.225413
746 0 -0.2146
747 0 -0.199015
748 0 -0.178459
749 0 -0.15277
750 0 -0.121825
751 0 -0.0855407
752 0 -0.0438757
753 0 0.00316847
754 0 0.0555469
755 0 0.113171
756 0 0.175908
757 0 0.243583
758 0 0.315979
759 0 0.392839
760 0 0.473868
761 0 0.558732
762 0 0.647068
763 0 0.73848
764 0 0.832546
765 0 0.928819
766 0 1.02683
767 0 1.12611
768 0 1.22616
769 2.439 1.32647
770 2.47152 1.42656
771 2.6163 1.52592
772 2.68965 1.62405
773 2.5985 1.72048
774 2.4585 1.81474
775 2.44728 1.90638
776 2.57907 1.99497
777 2.68666 2.08012
778 2.63355 2.16146
779 2.48711 2.23865
780 2.43316 2.3114
781 2.54014 2.37944
782 2.67232 2.44256
783 2.66199 2.50057
784 2.52226 2.55333
785 2.43041 2.60077
786 2.50298 2.64282
787 2.64789 2.67949
788 2.68129 2.7108
789 2.5608 2.73685
790 2.43929 2.75774
791 2.47094 2.77365
792 2.61558 2.78476
793 2.6897 2.79131
794 2.59926 2.79356
795 2.459 2.79179
796 2.44689 2.78632
797 2.57829 2.77749
798 2.68648 2.76564
799 2.6342 2.75114
800 2.48778 2.73437
801 2.43299 2.7157
802 2.53935 2.69551
803 2.67191 2.67419
804 2.66249 2.6521
805 2.52303 2.62962
806 2.43048 2.60708
807 2.50226 2.58482
808 2.6473 2.56315
809 2.68157 2.54237
810 2.5616 2.52274
811 2.43959 2.50449
812 2.47036 2.48784
813 2.61486 2.47297
814 2.68976 2.46001
815 2.60002 2.4491
816 2.45951 2.4403
817 2.4465 2.43368
818 2.5775 2.42925
819 2.6863 2.427
820 2.63486 2.42689
821 2.48844 2.42884
822 2.43282 2.43277
823 2.53856 2.43855
824 2.6715 2.44604
825 2.66297 2.45508
826 2.52379 2.46548
827 2.43055 2.47706
828 2.50155 2.48961
829 2.64671 2.50291
830 2.68185 2.51676
831 2.56239 2.53092
832 2.4399 2.54519
833 2.46978 2.55935
834 2.61414 2.57319
835 2.6898 2.58652
836 2.60078 2.59914
837 2.46002 2.61088
838 2.44611 2.6216
839 2.5767 2.63115
840 2.6861 2.63942
841 2.63551 2.6463
842 2.48911 2.65173
843 2.43266 2.65566
844 2.53777 2.65804
845 2.67109 2.65888
846 2.66346 2.65819
847 2.52456 2.65601
848 2.43063 2.65239
849 2.50084 2.64741
850 2.64611 2.64118
851 2.68213 2.63379
852 2.56319 2.62539
853 2.4402 2.6161
