index original filtered
756 -1.75587 -1.88271
757 -1.84143 -1.91432
758 -2.01882 -1.94528
759 -2.10225 -1.97558
760 -2.02429 -2.00521
761 -1.92145 -2.03417
762 -1.96094 -2.06243
763 -2.1285 -2.09
764 -2.2465 -2.11686
765 -2.1993 -2.143
766 -2.07993 -2.16841
767 -2.07209 -2.19309
768 -2.21703 -2.21703
769 -2.36121 -2.24021
770 -2.35111 -2.26264
771 -2.22799 -2.2843
772 -2.17553 -2.30518
773 -2.28679 -2.32528
774 -2.4461 -2.3446
775 -2.47584 -2.36312
776 -2.36177 -2.38084
777 -2.27109 -2.39776
778 -2.34032 -2.41386
779 -2.50203 -2.42914
780 -2.57045 -2.44361
781 -2.4771 -2.45724
782 -2.35772 -2.47004
783 -2.38001 -2.482
784 -2.53086 -2.49313
785 -2.63299 -2.5034
786 -2.56985 -2.51283
787 -2.43352 -2.52141
788 -2.40784 -2.52913
789 -2.5352 -2.536
790 -2.66271 -2.54201
791 -2.63622 -2.54715
792 -2.49586 -2.55144
793 -2.42515 -2.55486
794 -2.51815 -2.55741
795 -2.66009 -2.5591
796 -2.67303 -2.55991
797 -2.54158 -2.55987
798 -2.43247 -2.55895
799 -2.48297 -2.55717
800 -2.62674 -2.55452
801 -2.67802 -2.551
802 -2.56728 -2.54663
803 -2.42947 -2.54138
804 -2.4328 -2.53528
805 -2.56529 -2.52832
806 -2.65002 -2.5205
807 -2.56956 -2.51183
808 -2.415 -2.5023
809 -2.37036 -2.49193
810 -2.47912 -2.48071
811 -2.58907 -2.46866
812 -2.54541 -2.45576
813 -2.38718 -2.44204
814 -2.29773 -2.42749
815 -2.37209 -2.41211
816 -2.49641 -2.39592
817 -2.49242 -2.37891
818 -2.34361 -2.3611
819 -2.2162 -2.34249
820 -2.24823 -2.32309
821 -2.37446 -2.3029
822 -2.40911 -2.28193
823 -2.28162 -2.26018
824 -2.12617 -2.23767
825 -2.11143 -2.2144
826 -2.22659 -2.19038
827 -2.29507 -2.16562
828 -2.19858 -2.14013
829 -2.0272 -2.11391
830 -1.96512 -2.08697
831 -2.05693 -2.05933
832 -2.15109 -2.03098
833 -2.09217 -2.00195
834 -1.91811 -1.97225
835 -1.81207 -1.94187
836 -1.87006 -1.91084
837 -1.97914 -1.87915
838 -1.96073 -1.84684
839 -1.79719 -1.81389
840 -1.65423 -1.78033
841 -1.67067 -1.74617
842 -1.78231 -1.71142
843 -1.80343 -1.67608
844 -1.66241 -1.64018
845 -1.49263 -1.60372
846 -1.46327 -1.56672
847 -1.56463 -1.52919
848 -1.62052 -1.49114
849 -1.51175 -1.45259
850 -1.32743 -1.41354
851 -1.25188 -1.37401
852 -1.33083 -1.33402
853 -1.41338 -1.29358
854 -1.34349 -1.2527
855 -1.15798 -1.21139
856 -1.03983 -1.16967
857 -1.08603 -1.12756
858 -1.18454 -1.08507
859 -1.15647 -1.0422
860 -0.983073 -0.998986
861 -0.829524 -0.955432
862 -0.8354 -0.911553
863 -0.937588 -0.867366
864 -0.950387 -0.822885
865 -0.801136 -0.778125
866 -0.622425 -0.733102
867 -0.58389 -0.68783
868 -0.676997 -0.642325
869 -0.725895 -0.596602
870 -0.610547 -0.550677
871 -0.419051 -0.504566
872 -0.335882 -0.458283
873 -0.407858 -0.411845
874 -0.484753 -0.365268
875 -0.409925 -0.318567
876 -0.219077 -0.271758
877 -0.0949772 -0.224857
878 -0.13559 -0.17788
879 -0.229799 -0.130843
880 -0.198411 -0.0837609
881 -0.0215292 -0.0366507
882 0.136179 0.0104719
883 0.13439 0.057591
884 0.0351409 0.104691
885 0.0240993 0.151755
886 0.174972 0.198767
887 0.355968 0.245713
888 0.396992 0.292575
889 0.305434 0.339338
890 0.256778 0.385985
891 0.371926 0.432503
892 0.563786 0.478873
893 0.647749 0.525082
894 0.575897 0.571112
895 0.497781 0.616949
896 0.570653 0.662577
897 0.759931 0.70798
898 0.883055 0.753144
899 0.841096 0.798052
900 0.744253 0.84269
901 0.772018 0.887042
902 0.945423 0.931094
903 1.10033 0.97483
904 1.09568 1.01824
905 0.992423 1.0613
906 0.976195 1.104
907 1.12175 1.14633
908 1.2981 1.18826
909 1.33469 1.2298
910 1.23779 1.27092
911 1.18249 1.31161
912 1.29057 1.35185
913 1.47595 1.39164
914 1.55388 1.43096
915 1.47537 1.46979
916 1.38927 1.50812
917 1.45345 1.54594
918 1.63445 1.58324
919 1.74993 1.62
920 1.7 1.65621
921 1.59394 1.69186
922 1.61154 1.72694
923 1.77496 1.76143
924 1.92061 1.79532
925 1.90669 1.82861
926 1.79308 1.86128
927 1.76537 1.89331
928 1.89935 1.92471
929 2.06486 1.95545
930 2.09089 1.98553
931 1.98258 2.01494
932 1.91464 2.04367
933 2.00971 2.0717
934 2.18273 2.09903
935 2.24883 2.12565
936 2.15793 2.15155
937 2.0582 2.17672
938 2.10811 2.20115
939 2.27532 2.22484
940 2.37773 2.24777
941 2.31449 2.26994
942 2.19396 2.29134
943 2.19621 2.31197
944 2.34455 2.33181
945 2.47594 2.35086
946 2.44784 2.36912
947 2.31906 2.38657
948 2.27513 2.40322
949 2.3929 2.41905
950 2.54303 2.43406
951 2.55407 2.44824
